Name,Sex,Count,Year
David,M,40522,1977
James,M,40043,1977
Robert,M,34217,1977
John,M,34209,1977
Matthew,M,31970,1977
Melissa,F,26880,1977
Amy,F,26731,1977
Joseph,M,26490,1977
Daniel,M,26075,1977
Jessica,F,24845,1977
William,M,24762,1977
Heather,F,23775,1977
Joshua,M,22073,1977
Ryan,M,21250,1977
Michelle,F,19539,1977
Kimberly,F,18287,1977
Amanda,F,18280,1977
Sarah,F,18096,1977
Anthony,M,16804,1977
Elizabeth,F,16429,1977
Andrew,M,16019,1977
Stephanie,F,15417,1977
Nicole,F,15248,1977
Jonathan,M,12324,1977
Justin,M,12016,1977
Rachel,F,8975,1977
Brandon,M,8274,1977
Emily,F,6880,1977
Nicholas,M,6076,1977
Jacob,M,5792,1977
Samantha,F,3286,1977
Ashley,F,2707,1977
Lauren,F,2551,1977
Olivia,F,1105,1977
Hannah,F,633,1977
Emma,F,478,1977
Michael,M,67142,1978
Jennifer,F,56323,1978
Jason,M,51617,1978
Christopher,M,47243,1978
David,M,40699,1978
James,M,39903,1978
Matthew,M,34298,1978
John,M,34025,1978
Robert,M,33384,1978
Melissa,F,28328,1978
Joseph,M,26669,1978
Daniel,M,26443,1978
Jessica,F,26103,1978
Joshua,M,25213,1978
William,M,24180,1978
Amy,F,23212,1978
Heather,F,22270,1978
Ryan,M,21326,1978
Amanda,F,20518,1978
Sarah,F,19976,1978
Michelle,F,18857,1978
Nicole,F,17277,1978
Kimberly,F,16878,1978
Anthony,M,16810,1978
Elizabeth,F,16809,1978
Andrew,M,16728,1978
Nicholas,M,16347,1978
Stephanie,F,16230,1978
Justin,M,14190,1978
Jonathan,M,12516,1978
Rachel,F,9804,1978
Brandon,M,9241,1978
Emily,F,7478,1978
Jacob,M,6166,1978
Samantha,F,3887,1978
Lauren,F,3671,1978
Ashley,F,3483,1978
Olivia,F,1312,1978
Hannah,F,736,1978
Emma,F,445,1978
Michael,M,67724,1979
Jennifer,F,56718,1979
Christopher,M,50678,1979
Jason,M,50388,1979
David,M,42066,1979
James,M,39363,1979
Matthew,M,35638,1979
John,M,35416,1979
Melissa,F,34051,1979
Robert,M,34023,1979
Amanda,F,31927,1979
Joshua,M,31128,1979
Joseph,M,28655,1979
Daniel,M,28528,1979
Jessica,F,27782,1979
William,M,24682,1979
Ryan,M,23214,1979
Amy,F,21612,1979
Nicholas,M,21348,1979
Sarah,F,21018,1979
Heather,F,20837,1979
Nicole,F,19509,1979
Michelle,F,19268,1979
Andrew,M,18625,1979
Elizabeth,F,18075,1979
Kimberly,F,17639,1979
Anthony,M,17521,1979
Justin,M,17397,1979
Stephanie,F,16204,1979
Jonathan,M,14327,1979
Brandon,M,11307,1979
Rachel,F,10230,1979
Emily,F,7971,1979
Jacob,M,7547,1979
Lauren,F,5626,1979
Samantha,F,4463,1979
Ashley,F,4449,1979
Olivia,F,1255,1979
Hannah,F,970,1979
Emma,F,488,1979
Michael,M,68690,1980
Jennifer,F,58381,1980
Christopher,M,49089,1980
Jason,M,48170,1980
David,M,41900,1980
James,M,39323,1980
Matthew,M,37843,1980
Joshua,M,36060,1980
Amanda,F,35813,1980
John,M,35280,1980
Robert,M,34273,1980
Jessica,F,33925,1980
Melissa,F,31637,1980
Joseph,M,30189,1980
Daniel,M,29893,1980
Justin,M,26763,1980
Sarah,F,25757,1980
William,M,25648,1980
Ryan,M,24804,1980
Nicholas,M,21026,1980
Heather,F,19973,1980
Nicole,F,19921,1980
Amy,F,19834,1980
Andrew,M,19730,1980
Elizabeth,F,19530,1980
Michelle,F,19122,1980
Jonathan,M,18993,1980
Kimberly,F,18499,1980
Stephanie,F,17842,1980
Anthony,M,17610,1980
Brandon,M,14172,1980
Rachel,F,11622,1980
Emily,F,9003,1980
Jacob,M,8521,1980
Lauren,F,7476,1980
Ashley,F,7297,1980
Samantha,F,4920,1980
Hannah,F,1221,1980
Olivia,F,1118,1980
Emma,F,531,1980
Michael,M,68774,1981
Jennifer,F,57048,1981
Christopher,M,50224,1981
Matthew,M,43334,1981
Jessica,F,42537,1981
Jason,M,41927,1981
David,M,40658,1981
Joshua,M,39041,1981
James,M,38301,1981
John,M,34880,1981
Robert,M,34397,1981
Amanda,F,34375,1981
Daniel,M,30995,1981
Joseph,M,30766,1981
Sarah,F,28172,1981
Melissa,F,28005,1981
Justin,M,27311,1981
Ryan,M,26820,1981
William,M,24806,1981
Jonathan,M,22598,1981
Amy,F,20346,1981
Nicole,F,20313,1981
Andrew,M,20238,1981
Brandon,M,20212,1981
Stephanie,F,20210,1981
Elizabeth,F,20170,1981
Nicholas,M,19778,1981
Anthony,M,18576,1981
Heather,F,17946,1981
Michelle,F,17778,1981
Kimberly,F,16689,1981
Rachel,F,12590,1981
Emily,F,10800,1981
Jacob,M,9351,1981
Ashley,F,8876,1981
Lauren,F,8813,1981
Samantha,F,5519,1981
Hannah,F,1414,1981
Olivia,F,1027,1981
Emma,F,534,1981
Michael,M,68240,1982
Christopher,M,59235,1982
Jennifer,F,57119,1982
Matthew,M,46063,1982
Jessica,F,45453,1982
Jason,M,40639,1982
David,M,40458,1982
James,M,38878,1982
Joshua,M,38012,1982
John,M,34706,1982
Robert,M,34423,1982
Amanda,F,34213,1982
Daniel,M,32660,1982
Joseph,M,31051,1982
Justin,M,29111,1982
Sarah,F,28488,1982
Ryan,M,26690,1982
Melissa,F,25867,1982
William,M,25603,1982
Jonathan,M,23122,1982
Andrew,M,22839,1982
Nicole,F,21707,1982
Stephanie,F,20861,1982
Elizabeth,F,20508,1982
Brandon,M,20220,1982
Anthony,M,19650,1982
Nicholas,M,19646,1982
Amy,F,18800,1982
Michelle,F,17767,1982
Heather,F,17495,1982
Kimberly,F,16101,1982
Ashley,F,14856,1982
Rachel,F,13871,1982
Emily,F,12519,1982
Lauren,F,11591,1982
Jacob,M,10061,1982
Samantha,F,6769,1982
Hannah,F,1580,1982
Olivia,F,1126,1982
Emma,F,561,1982
Michael,M,68000,1983
Christopher,M,59340,1983
Jennifer,F,54350,1983
Matthew,M,50215,1983
Jessica,F,45281,1983
David,M,39205,1983
Joshua,M,36696,1983
James,M,36342,1983
Jason,M,35118,1983
Daniel,M,34753,1983
Amanda,F,33754,1983
Ashley,F,33293,1983
John,M,33159,1983
Robert,M,32750,1983
Joseph,M,30455,1983
Justin,M,28304,1983
Ryan,M,27856,1983
Sarah,F,27231,1983
Andrew,M,25575,1983
William,M,25398,1983
Brandon,M,23517,1983
Melissa,F,23474,1983
Jonathan,M,22753,1983
Nicole,F,22399,1983
Stephanie,F,22331,1983
Heather,F,20745,1983
Nicholas,M,19891,1983
Elizabeth,F,19841,1983
Anthony,M,19834,1983
Amy,F,17096,1983
Michelle,F,16837,1983
Kimberly,F,15370,1983
Rachel,F,14592,1983
Lauren,F,12944,1983
Emily,F,12376,1983
Jacob,M,10999,1983
Samantha,F,7705,1983
Hannah,F,2399,1983
Olivia,F,1090,1983
Emma,F,553,1983
Michael,M,67749,1984
Christopher,M,60024,1984
Jennifer,F,50561,1984
Matthew,M,49782,1984
Jessica,F,45857,1984
Joshua,M,40270,1984
Ashley,F,38776,1984
David,M,38490,1984
Daniel,M,36537,1984
James,M,35867,1984
Amanda,F,33915,1984
John,M,32613,1984
Robert,M,31771,1984
Joseph,M,30513,1984
Jason,M,29953,1984
Ryan,M,28740,1984
Justin,M,26773,1984
Andrew,M,25921,1984
Sarah,F,25888,1984
Brandon,M,25679,1984
William,M,24905,1984
Jonathan,M,23342,1984
Stephanie,F,23025,1984
Nicole,F,22271,1984
Melissa,F,21895,1984
Heather,F,21491,1984
Nicholas,M,21017,1984
Anthony,M,20961,1984
Elizabeth,F,20360,1984
Amy,F,15991,1984
Rachel,F,15842,1984
Michelle,F,15498,1984
Lauren,F,14474,1984
Kimberly,F,14445,1984
Emily,F,12786,1984
Jacob,M,11356,1984
Samantha,F,8040,1984
Hannah,F,2266,1984
Olivia,F,1166,1984
Emma,F,678,1984
Michael,M,64924,1985
Christopher,M,59610,1985
Jessica,F,48346,1985
Matthew,M,47088,1985
Ashley,F,47008,1985
Jennifer,F,42657,1985
Joshua,M,42206,1985
Amanda,F,39056,1985
Daniel,M,38563,1985
David,M,38529,1985
James,M,35865,1985
Robert,M,32096,1985
John,M,31501,1985
Joseph,M,30221,1985
Andrew,M,30173,1985
Ryan,M,29913,1985
Brandon,M,29309,1985
Jason,M,26041,1985
Justin,M,25536,1985
Sarah,F,24880,1985
William,M,24613,1985
Jonathan,M,24116,1985
Stephanie,F,23244,1985
Nicole,F,22967,1985
Nicholas,M,22391,1985
Anthony,M,22091,1985
Heather,F,21151,1985
Elizabeth,F,20546,1985
Melissa,F,19964,1985
Rachel,F,16362,1985
Lauren,F,15768,1985
Kimberly,F,14913,1985
Amy,F,14428,1985
Michelle,F,13975,1985
Emily,F,13137,1985
Jacob,M,12282,1985
Samantha,F,10658,1985
Hannah,F,2449,1985
Olivia,F,1025,1985
Emma,F,946,1985
Michael,M,64228,1986
Christopher,M,56698,1986
Jessica,F,52682,1986
Ashley,F,49672,1986
Matthew,M,46927,1986
Amanda,F,40532,1986
Joshua,M,37544,1986
David,M,37154,1986
Daniel,M,36577,1986
Jennifer,F,36185,1986
James,M,34047,1986
Andrew,M,33859,1986
Robert,M,31355,1986
John,M,30217,1986
Ryan,M,29523,1986
Joseph,M,28835,1986
Sarah,F,28161,1986
Brandon,M,27255,1986
Justin,M,26635,1986
William,M,24331,1986
Jonathan,M,23973,1986
Nicholas,M,22800,1986
Stephanie,F,22647,1986
Jason,M,22407,1986
Anthony,M,21956,1986
Nicole,F,21291,1986
Heather,F,19789,1986
Elizabeth,F,19076,1986
Melissa,F,17668,1986
Lauren,F,16681,1986
Rachel,F,15455,1986
Kimberly,F,14416,1986
Samantha,F,14092,1986
Jacob,M,13653,1986
Amy,F,13455,1986
Michelle,F,13302,1986
Emily,F,13236,1986
Hannah,F,3388,1986
Emma,F,1258,1986
Olivia,F,1233,1986
Michael,M,63653,1987
Jessica,F,55996,1987
Ashley,F,54853,1987
Christopher,M,54493,1987
Matthew,M,46507,1987
Amanda,F,41788,1987
Joshua,M,40004,1987
David,M,36798,1987
Andrew,M,36206,1987
Daniel,M,35870,1987
Jennifer,F,32705,1987
James,M,32662,1987
Justin,M,31494,1987
Robert,M,30235,1987
John,M,29552,1987
Joseph,M,28526,1987
Ryan,M,28489,1987
Sarah,F,27894,1987
Brandon,M,24822,1987
William,M,24201,1987
Nicholas,M,23252,1987
Anthony,M,23125,1987
Jonathan,M,23117,1987
Stephanie,F,22405,1987
Nicole,F,20284,1987
Jason,M,19348,1987
Heather,F,18982,1987
Elizabeth,F,18609,1987
Samantha,F,17944,1987
Melissa,F,17674,1987
Lauren,F,16708,1987
Rachel,F,15644,1987
Emily,F,14710,1987
Jacob,M,14323,1987
Michelle,F,13034,1987
Kimberly,F,13030,1987
Amy,F,11786,1987
Hannah,F,4594,1987
Olivia,F,1699,1987
Emma,F,1587,1987
Michael,M,64161,1988
Christopher,M,53010,1988
Jessica,F,51552,1988
Ashley,F,49972,1988
Matthew,M,45881,1988
Joshua,M,42651,1988
Amanda,F,39458,1988
Andrew,M,35747,1988
David,M,35324,1988
Justin,M,35056,1988
Daniel,M,34715,1988
James,M,32521,1988
Robert,M,30317,1988
John,M,29423,1988
Joseph,M,29015,1988
Sarah,F,28372,1988
Jennifer,F,27891,1988
Ryan,M,27748,1988
Nicholas,M,25299,1988
Jonathan,M,24350,1988
William,M,24127,1988
Brandon,M,23735,1988
Anthony,M,23641,1988
Stephanie,F,22840,1988
Samantha,F,20702,1988
Nicole,F,20316,1988
Elizabeth,F,20040,1988
Lauren,F,19635,1988
Heather,F,18036,1988
Melissa,F,16543,1988
Jason,M,15914,1988
Jacob,M,15881,1988
Emily,F,15869,1988
Rachel,F,15345,1988
Michelle,F,13340,1988
Kimberly,F,11948,1988
Amy,F,10035,1988
Hannah,F,5561,1988
Olivia,F,2141,1988
Emma,F,1793,1988
Michael,M,65408,1989
Christopher,M,53186,1989
Jessica,F,47889,1989
Ashley,F,47586,1989
Matthew,M,45379,1989
Joshua,M,44097,1989
Amanda,F,36834,1989
David,M,35223,1989
Daniel,M,35011,1989
Andrew,M,34814,1989
Justin,M,32849,1989
James,M,32712,1989
Robert,M,30069,1989
Joseph,M,29880,1989
John,M,29854,1989
Ryan,M,28413,1989
Nicholas,M,28227,1989
Sarah,F,27792,1989
Samantha,F,24792,1989
William,M,24673,1989
Anthony,M,24424,1989
Jennifer,F,23999,1989
Jonathan,M,23605,1989
Brandon,M,23310,1989
Stephanie,F,22766,1989
Lauren,F,21066,1989
Elizabeth,F,20296,1989
Nicole,F,19032,1989
Jacob,M,17833,1989
Emily,F,17323,1989
Heather,F,16246,1989
Rachel,F,15357,1989
Melissa,F,15205,1989
Michelle,F,13375,1989
Jason,M,12612,1989
Kimberly,F,11034,1989
Amy,F,8898,1989
Hannah,F,7831,1989
Olivia,F,2439,1989
Emma,F,1938,1989
Michael,M,65306,1990
Christopher,M,52353,1990
Jessica,F,46478,1990
Ashley,F,45561,1990
Matthew,M,44817,1990
Joshua,M,43226,1990
Amanda,F,34413,1990
Daniel,M,33827,1990
David,M,33743,1990
Andrew,M,33670,1990
James,M,32359,1990
Justin,M,30647,1990
Joseph,M,30127,1990
Ryan,M,29254,1990
John,M,29087,1990
Robert,M,28881,1990
Nicholas,M,27911,1990
Samantha,F,25868,1990
Sarah,F,25822,1990
Anthony,M,25084,1990
William,M,24905,1990
Stephanie,F,24864,1990
Jonathan,M,24079,1990
Jennifer,F,22234,1990
Brandon,M,22162,1990
Jacob,M,22019,1990
Elizabeth,F,20749,1990
Lauren,F,20507,1990
Emily,F,19366,1990
Nicole,F,17957,1990
Rachel,F,15709,1990
Heather,F,14219,1990
Melissa,F,13997,1990
Michelle,F,13423,1990
Jason,M,10695,1990
Hannah,F,10279,1990
Kimberly,F,10191,1990
Amy,F,8463,1990
Olivia,F,4627,1990
Emma,F,2420,1990
Michael,M,60799,1991
Christopher,M,47108,1991
Ashley,F,43480,1991
Jessica,F,43397,1991
Matthew,M,41644,1991
Joshua,M,41225,1991
Andrew,M,31542,1991
Daniel,M,30927,1991
James,M,30514,1991
David,M,30417,1991
Joseph,M,29835,1991
Amanda,F,28895,1991
John,M,27802,1991
Ryan,M,27534,1991
Nicholas,M,27358,1991
Robert,M,26834,1991
Justin,M,26793,1991
Brandon,M,26019,1991
Samantha,F,25647,1991
Sarah,F,25228,1991
Jacob,M,25197,1991
Anthony,M,24443,1991
William,M,23861,1991
Jonathan,M,22974,1991
Stephanie,F,22775,1991
Jennifer,F,20673,1991
Elizabeth,F,20395,1991
Emily,F,20310,1991
Lauren,F,18410,1991
Rachel,F,16342,1991
Nicole,F,16049,1991
Melissa,F,13347,1991
Michelle,F,12212,1991
Heather,F,11703,1991
Hannah,F,10771,1991
Kimberly,F,9799,1991
Jason,M,9386,1991
Amy,F,7275,1991
Olivia,F,5601,1991
Emma,F,2595,1991
Michael,M,54399,1992
Christopher,M,42465,1992
Ashley,F,38458,1992
Jessica,F,38360,1992
Matthew,M,37734,1992
Joshua,M,36217,1992
Andrew,M,30538,1992
Brandon,M,29623,1992
Daniel,M,29156,1992
James,M,28508,1992
David,M,28419,1992
Joseph,M,27903,1992
Nicholas,M,27761,1992
Ryan,M,27015,1992
John,M,26249,1992
Jacob,M,25669,1992
Amanda,F,25037,1992
Sarah,F,24636,1992
Samantha,F,24409,1992
Robert,M,24092,1992
Justin,M,23619,1992
Anthony,M,23171,1992
William,M,23068,1992
Emily,F,21834,1992
Jonathan,M,21410,1992
Stephanie,F,19676,1992
Elizabeth,F,19034,1992
Jennifer,F,17820,1992
Lauren,F,17216,1992
Nicole,F,16325,1992
Rachel,F,15838,1992
Melissa,F,11710,1992
Michelle,F,11511,1992
Hannah,F,11495,1992
Heather,F,9724,1992
Jason,M,9245,1992
Kimberly,F,8894,1992
Amy,F,6341,1992
Olivia,F,5810,1992
Emma,F,3212,1992
Michael,M,49564,1993
Christopher,M,38236,1993
Matthew,M,35773,1993
Jessica,F,34990,1993
Ashley,F,34850,1993
Joshua,M,33586,1993
Brandon,M,28737,1993
Daniel,M,28688,1993
Nicholas,M,28108,1993
Jacob,M,27485,1993
Andrew,M,27320,1993
David,M,27037,1993
Joseph,M,27011,1993
Ryan,M,26727,1993
James,M,26253,1993
John,M,24995,1993
Sarah,F,24254,1993
Samantha,F,23668,1993
Emily,F,23592,1993
Robert,M,22447,1993
William,M,22216,1993
Anthony,M,21787,1993
Justin,M,21541,1993
Amanda,F,20811,1993
Jonathan,M,19950,1993
Elizabeth,F,17557,1993
Stephanie,F,17186,1993
Lauren,F,16191,1993
Nicole,F,16182,1993
Rachel,F,15973,1993
Jennifer,F,15750,1993
Hannah,F,12506,1993
Melissa,F,10224,1993
Michelle,F,10192,1993
Jason,M,8638,1993
Heather,F,8102,1993
Kimberly,F,7966,1993
Olivia,F,6342,1993
Amy,F,5420,1993
Emma,F,4108,1993
Michael,M,44470,1994
Christopher,M,34804,1994
Matthew,M,33653,1994
Jessica,F,32122,1994
Joshua,M,31372,1994
Ashley,F,30282,1994
Brandon,M,29488,1994
Jacob,M,29419,1994
Daniel,M,28060,1994
Nicholas,M,27766,1994
Andrew,M,26013,1994
Joseph,M,25731,1994
David,M,24869,1994
James,M,24774,1994
John,M,24181,1994
Emily,F,24151,1994
Ryan,M,24057,1994
Samantha,F,22822,1994
Sarah,F,22295,1994
Anthony,M,21600,1994
William,M,21490,1994
Justin,M,20940,1994
Robert,M,20557,1994
Jonathan,M,19066,1994
Amanda,F,18719,1994
Elizabeth,F,16786,1994
Nicole,F,16012,1994
Rachel,F,15490,1994
Lauren,F,15157,1994
Stephanie,F,14749,1994
Hannah,F,14495,1994
Jennifer,F,14000,1994
Melissa,F,8796,1994
Kimberly,F,8746,1994
Michelle,F,8638,1994
Jason,M,8549,1994
Heather,F,7034,1994
Olivia,F,6434,1994
Emma,F,4765,1994
Amy,F,4691,1994
Michael,M,41406,1995
Matthew,M,32877,1995
Christopher,M,32673,1995
Jacob,M,31132,1995
Joshua,M,30719,1995
Nicholas,M,29156,1995
Jessica,F,27939,1995
Brandon,M,26905,1995
Daniel,M,26726,1995
Ashley,F,26601,1995
Andrew,M,25854,1995
Joseph,M,25344,1995
Emily,F,24381,1995
John,M,23239,1995
Ryan,M,23088,1995
David,M,23041,1995
James,M,22730,1995
Samantha,F,21644,1995
Justin,M,21580,1995
Sarah,F,21393,1995
Anthony,M,20481,1995
William,M,20159,1995
Robert,M,18585,1995
Jonathan,M,18153,1995
Hannah,F,17018,1995
Amanda,F,16354,1995
Elizabeth,F,16190,1995
Rachel,F,16047,1995
Lauren,F,13445,1995
Stephanie,F,12978,1995
Jennifer,F,12682,1995
Nicole,F,12276,1995
Jason,M,9002,1995
Melissa,F,7878,1995
Kimberly,F,7745,1995
Olivia,F,7625,1995
Michelle,F,7392,1995
Heather,F,6032,1995
Emma,F,5050,1995
Amy,F,4529,1995
Michael,M,38366,1996
Matthew,M,32074,1996
Jacob,M,31926,1996
Christopher,M,30903,1996
Joshua,M,29174,1996
Nicholas,M,27720,1996
Brandon,M,25846,1996
Andrew,M,25240,1996
Emily,F,25151,1996
Daniel,M,25120,1996
Joseph,M,24757,1996
Jessica,F,24201,1996
Ashley,F,23679,1996
David,M,23020,1996
John,M,22183,1996
Ryan,M,21809,1996
James,M,21163,1996
Sarah,F,21041,1996
Samantha,F,20552,1996
William,M,20543,1996
Anthony,M,20504,1996
Justin,M,20007,1996
Jonathan,M,18597,1996
Hannah,F,18596,1996
Robert,M,17673,1996
Rachel,F,16118,1996
Elizabeth,F,16003,1996
Amanda,F,13979,1996
Lauren,F,12593,1996
Jennifer,F,11729,1996
Stephanie,F,11644,1996
Nicole,F,11133,1996
Jason,M,8697,1996
Olivia,F,8124,1996
Kimberly,F,7175,1996
Melissa,F,7170,1996
Michelle,F,6598,1996
Emma,F,6146,1996
Heather,F,4758,1996
Amy,F,4067,1996
Michael,M,37551,1997
Jacob,M,34158,1997
Matthew,M,31516,1997
Christopher,M,29105,1997
Joshua,M,28286,1997
Nicholas,M,27257,1997
Emily,F,25735,1997
Andrew,M,25207,1997
Brandon,M,25195,1997
Daniel,M,23948,1997
Joseph,M,23600,1997
David,M,21894,1997
John,M,21386,1997
Jessica,F,21045,1997
Ashley,F,20895,1997
Sarah,F,20714,1997
Hannah,F,20594,1997
Ryan,M,20527,1997
James,M,20405,1997
Samantha,F,20170,1997
Anthony,M,20031,1997
William,M,20019,1997
Justin,M,18744,1997
Jonathan,M,18540,1997
Robert,M,16303,1997
Elizabeth,F,15428,1997
Rachel,F,13798,1997
Lauren,F,13247,1997
Amanda,F,12242,1997
Jennifer,F,11839,1997
Nicole,F,10743,1997
Stephanie,F,9778,1997
Olivia,F,9477,1997
Jason,M,8745,1997
Emma,F,7749,1997
Melissa,F,6679,1997
Kimberly,F,6182,1997
Michelle,F,5694,1997
Heather,F,3768,1997
Amy,F,3690,1997
Michael,M,36617,1998
Jacob,M,36026,1998
Matthew,M,31144,1998
Joshua,M,28092,1998
Christopher,M,27004,1998
Nicholas,M,26633,1998
Emily,F,26185,1998
Brandon,M,23830,1998
Andrew,M,23662,1998
Joseph,M,23185,1998
Daniel,M,23161,1998
Hannah,F,21375,1998
David,M,20889,1998
William,M,20833,1998
John,M,20631,1998
Ryan,M,20198,1998
Samantha,F,20194,1998
Sarah,F,19894,1998
Ashley,F,19873,1998
James,M,19687,1998
Anthony,M,19634,1998
Jessica,F,18237,1998
Justin,M,17971,1998
Jonathan,M,17648,1998
Robert,M,15525,1998
Elizabeth,F,15193,1998
Lauren,F,12907,1998
Rachel,F,12210,1998
Amanda,F,10923,1998
Jennifer,F,10691,1998
Olivia,F,10610,1998
Emma,F,10448,1998
Nicole,F,9911,1998
Jason,M,9396,1998
Stephanie,F,8491,1998
Kimberly,F,5721,1998
Michelle,F,5561,1998
Melissa,F,5354,1998
Amy,F,3485,1998
Heather,F,3397,1998
Jacob,M,35369,1999
Michael,M,33912,1999
Matthew,M,30417,1999
Joshua,M,27260,1999
Emily,F,26539,1999
Nicholas,M,25639,1999
Christopher,M,25604,1999
Andrew,M,23863,1999
Joseph,M,23216,1999
Daniel,M,22702,1999
Hannah,F,21678,1999
Brandon,M,21602,1999
Ryan,M,21013,1999
William,M,20716,1999
John,M,20365,1999
David,M,20349,1999
Anthony,M,19470,1999
Sarah,F,19115,1999
Samantha,F,19041,1999
James,M,18554,1999
Justin,M,18277,1999
Ashley,F,18136,1999
Jonathan,M,17066,1999
Jessica,F,16349,1999
Elizabeth,F,15348,1999
Robert,M,14539,1999
Lauren,F,13911,1999
Emma,F,11746,1999
Rachel,F,11631,1999
Olivia,F,11256,1999
Jennifer,F,10614,1999
Amanda,F,9748,1999
Nicole,F,9515,1999
Jason,M,9363,1999
Stephanie,F,7692,1999
Kimberly,F,5458,1999
Michelle,F,5303,1999
Melissa,F,4830,1999
Amy,F,3207,1999
Heather,F,2887,1999
Jacob,M,34490,2000
Michael,M,32042,2000
Matthew,M,28576,2000
Joshua,M,27538,2000
Emily,F,25957,2000
Christopher,M,24936,2000
Nicholas,M,24653,2000
Andrew,M,23654,2000
Hannah,F,23085,2000
Joseph,M,22842,2000
Daniel,M,22334,2000
William,M,20667,2000
Brandon,M,20336,2000
Ryan,M,20267,2000
John,M,20109,2000
David,M,19785,2000
Anthony,M,19654,2000
Ashley,F,17998,2000
James,M,17990,2000
Justin,M,17784,2000
Sarah,F,17712,2000
Samantha,F,17265,2000
Jonathan,M,16887,2000
Jessica,F,15711,2000
